file	url	year	months	day	hours	minutes	seconds	db	frequency	duration
event20230218_115741_66.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_115741_66.jpg width="700" height="400">	2023	02	18	11	57	41	-58.1	2073.4	0.2
event20230218_120536_67.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_120536_67.jpg width="700" height="400">	2023	02	18	12	05	36	-60.5	2046.3	0.1
event20230218_122516_68.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_122516_68.jpg width="700" height="400">	2023	02	18	12	25	16	-57.8	2054	0.1
event20230218_123204_69.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_123204_69.jpg width="700" height="400">	2023	02	18	12	32	04	-58.1	2115.9	0.4
event20230218_125024_70.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_125024_70.jpg width="700" height="400">	2023	02	18	12	50	24	-55.5	2080.4	0.3
event20230218_130340_71.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_130340_71.jpg width="700" height="400">	2023	02	18	13	03	40	-55.5	2101.1	0.5
event20230218_130803_72.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_130803_72.jpg width="700" height="400">	2023	02	18	13	08	03	-59.8	2035.3	0.1
event20230218_131414_73.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_131414_73.jpg width="700" height="400">	2023	02	18	13	14	14	-57.9	2050.9	0.2
event20230218_131605_74.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_131605_74.jpg width="700" height="400">	2023	02	18	13	16	05	-51.4	2047.6	0.4
event20230218_131920_75.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_131920_75.jpg width="700" height="400">	2023	02	18	13	19	20	-60.6	2054.6	0.1
event20230218_140802_76.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_140802_76.jpg width="700" height="400">	2023	02	18	14	08	02	-62.7	2084.1	0.1
event20230218_142118_77.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_142118_77.jpg width="700" height="400">	2023	02	18	14	21	18	-54.2	2050.3	0.2
event20230218_143634_78.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_143634_78.jpg width="700" height="400">	2023	02	18	14	36	34	-54.2	2076.5	2.1
